iter,config,wall_ms,wall_s,crit_s,total_actions,worker_count,sandbox_count
1,no-pipeline,157741,157.7,106.63,1086,0,1043
1,worker-pipe,126874,126.9,72.77,1661,1150,15
1,worker-pipe+incr,97381,97.4,78.77,1167,1165,0
1,no-pipeline-rb,26438,26.4,25.87,106,0,105
1,worker-pipe-rb,27624,27.6,26.95,174,106,67
1,worker-pipe+incr-rb,4310,4.3,3.84,64,7,0
2,no-pipeline,86856,86.9,71.85,1087,0,590
2,worker-pipe,79841,79.8,52.59,1676,1150,15
2,worker-pipe+incr,109799,109.8,82.11,1167,1165,0
2,no-pipeline-rb,28022,28.0,27.49,106,0,105
2,worker-pipe-rb,29418,29.4,28.83,174,106,67
2,worker-pipe+incr-rb,21176,21.2,20.59,174,117,0
3,no-pipeline,86055,86.1,72.46,1087,0,590
3,worker-pipe,87662,87.7,53.41,1676,1150,15
3,worker-pipe+incr,109580,109.6,82.51,1167,1165,0
3,no-pipeline-rb,28596,28.6,28.05,106,0,105
3,worker-pipe-rb,29962,30.0,29.38,174,106,67
3,worker-pipe+incr-rb,21503,21.5,21.01,174,117,0
4,no-pipeline,87759,87.8,71.19,1087,0,590
4,worker-pipe,85072,85.1,55.23,1676,1150,15
4,worker-pipe+incr,110241,110.2,82.63,1167,1165,0
4,no-pipeline-rb,28258,28.3,27.69,106,0,105
4,worker-pipe-rb,28717,28.7,28.20,174,106,67
4,worker-pipe+incr-rb,21360,21.4,20.85,174,117,0
5,no-pipeline,86292,86.3,70.73,1087,0,590
5,worker-pipe,86607,86.6,53.24,1676,1150,15
5,worker-pipe+incr,106365,106.4,80.83,1167,1165,0
5,no-pipeline-rb,28515,28.5,27.96,106,0,105
5,worker-pipe-rb,28888,28.9,28.05,174,106,67
5,worker-pipe+incr-rb,21467,21.5,20.93,174,117,0
